date,calls,n_sick,year,week,n_duty
2019-06-01,9430.893354963993,72.92783890894854,2019,22,1900
2019-06-02,9829.416131348384,77.09590695221856,2019,22,1900
2019-06-03,11326.045694116403,80.00007555239442,2019,23,1900
2019-06-04,11024.143048345368,77.11357244919765,2019,23,1900
2019-06-05,11385.432655127323,77.7165569260207,2019,23,1900
2019-06-06,10946.809855827029,78.55707589779236,2019,23,1900
2019-06-07,10652.502081694449,80.1249572441386,2019,23,1900
2019-06-08,10058.959764798621,74.00370030826606,2019,23,1900
2019-06-09,9816.414713261429,78.16989800284553,2019,23,1900
2019-06-10,10881.014296761621,77.04179360198845,2019,24,1900
2019-06-11,10225.788840960959,78.18270610912637,2019,24,1900
2019-06-12,10205.967749027,78.78270498132517,2019,24,1900
2019-06-13,10206.22691012587,79.61986821703509,2019,24,1900
2019-06-14,10259.694823701859,81.18402468887294,2019,24,1900
2019-06-15,9620.013715675757,75.05867484231656,2019,24,1900
2019-06-16,8960.556427422767,79.22041280115103,2019,24,1900
2019-06-17,9890.627695670382,82.11751335925496,2019,25,1900
2019-06-18,10556.41539208125,79.22320634789541,2019,25,1900
2019-06-19,9747.954325215109,79.81765335973971,2019,25,1900
2019-06-20,9787.797715545395,80.64890383613682,2019,25,1900
2019-06-21,9634.647621265089,82.20678839936386,2019,25,1900
2019-06-22,9448.504613327737,76.07480935085913,2019,25,1900
2019-06-23,8782.639321313934,80.22956277612609,2019,25,1900
2019-06-24,10423.374357382228,83.11932553583611,2019,26,1900
2019-06-25,9511.006651643549,80.2173296326611,2019,26,1900
2019-06-26,9731.323136865747,80.80373893452094,2019,26,1900
2019-06-27,9521.696714791356,81.62660526123798,2019,26,1900
2019-06-28,9301.612092100851,83.17576171614033,2019,26,1900
2019-06-29,9268.169416582385,77.034713183407,2019,26,1900
2019-06-30,8639.273678001777,81.18005843237884,2019,26,1900
